Nama;Kegiatan;Kecamatan;Wilayah;Kategori;lat;lng
Dts Ban;MENJUAL BAN BEKAS VULKANISIR DAN VELG;Surakarta;Surakarta;Surakarta;-7.5404809;110.8251938
Mie Pitik Lek Kirun;MENJUAL MIE AYAM DAN ES TEH;Surakarta;Surakarta;Surakarta;-7.5412321;110.8277684
Jual Beli Burung Labert;JUAL BELI BURUNG LABERT;Surakarta;Surakarta;Surakarta;-7.5366117;110.8279317
Es Degan Pandu;MENJUAL ES DEGAN, MINUMAN SACHETAN DAN SNACK;Surakarta;Surakarta;Surakarta;-7.5410495;110.8276637
Batik Padas Keong;Proses pembuatan Baju Batik secara Cap manual;Surakarta;Surakarta;Surakarta;-7.5663948;110.788459
Batik Tulis Pipin;Melukis Batik Tulis dikain;Surakarta;Surakarta;Surakarta;-7.5663865;110.7884254
Niea Collection;menjual baju berupa blouse, daster dan setelan ke pedagang kecil;Surakarta;Surakarta;Surakarta;-7.5663816;110.7884305
Penjahit Pasiah;menjahit baju kemeja sesuai pesanan;Surakarta;Surakarta;Surakarta;-7.5666311;110.7882391
Wedangan Pak Joko;Menyediakan makanan dan minuman diangkringan;Surakarta;Surakarta;Surakarta;-7.5662646;110.7883673
Warung Klontong Bella;Menjual sembako eceran;Surakarta;Surakarta;Surakarta;-7.5713414;110.7970796
Warung Bu Sulastri;Warung kelontong yang jualan utamanya adalah rokok, minuman kemasan, teh, gula, sabun mandi, shampoo, deterjen dll;Surakarta;Surakarta;Surakarta;-7.5687116;110.8304972
Sate Sapi;jualan sate;Surakarta;Surakarta;Surakarta;-7.5632872;110.8218967
Air Galon;menjual air isi ulang;Surakarta;Surakarta;Surakarta;-7.5633225;110.8199032
Es Jus;jual minuman;Surakarta;Surakarta;Surakarta;-7.56564;110.8201901
Rambak Mbah Niti;menjual kerupuk;Surakarta;Surakarta;Surakarta;-7.5659612;110.8125579
Hek Lek Topo;menjual es teh, es jeruk, nasi bandeng, gorengan ;Surakarta;Surakarta;Surakarta;-7.5731315;110.8419154
Snack Markuni Bu Hartati;menjual snack markuni goreng;Surakarta;Surakarta;Surakarta;-7.5586007;110.8200998
Warung Makan Gado Gado Mbak Zuni;usaha warung makan dengan menu gado-gado,lotek,tahu acar,dll;Surakarta;Surakarta;Surakarta;-7.5578205;110.8196871
Warung Bu Tini;jual rokok,gula,pampers ecer,dll;Surakarta;Surakarta;Surakarta;-7.5584665;110.8202923
Warung Bu Heny;MENYEDIAKAN MINUMAN DAN JUAL SNACK;Surakarta;Surakarta;Surakarta;-7.5687908;110.8355933
Loundry Novi;usaha mencuci pakaian ;Surakarta;Surakarta;Surakarta;-7.5659303;110.8163672
Bengkel Mobil Irish Servis;reparasi mobil;Surakarta;Surakarta;Surakarta;-7.5666906;110.8164298
Warung Kelontong;MENJUAL JAJANAN RINGAN DI RUMAH;Surakarta;Surakarta;Surakarta;-7.567182;110.8170808
Kedai Makan Pak Plendung;Menjual nasi sop matahari, timlo, selat;Surakarta;Surakarta;Surakarta;-7.580506;110.8191835
Kedai Makanan Mbah Yam;Menjual Nasi sayur ;Surakarta;Surakarta;Surakarta;-7.580444;110.8187192
Gorengan Ibu Ne Gogon;Menjual aneka gorengan ;Surakarta;Surakarta;Surakarta;-7.5815949;110.8188123
Kedai Makan Mbak Sumeh;Menjual Mie Toprak, selat, SOP matahari, brambang asem;Surakarta;Surakarta;Surakarta;-7.5801265;110.8188856
Sosis Dan Sate Koyor;jual sosis basah,koyor;Surakarta;Surakarta;Surakarta;-7.5751274;110.8329588
Surati;menjual minuman dan es;Surakarta;Surakarta;Surakarta;-7.572696;110.8299028
Penjahit Sugiyanto;menjahit kian menjadi baju, celana sesuai pesanan;Surakarta;Surakarta;Surakarta;-7.5497833;110.828685
Karak Solo Riska Q;MEMBUAT KARAK DAN MENJUALNYA;Surakarta;Surakarta;Surakarta;-7.5369168;110.8280182
Toko Baju Arsen;menjual celana dan jaket;Surakarta;Surakarta;Surakarta;-7.5631265;110.8481553
Warung Barokah;penyediaan makanan dan minuman;Surakarta;Surakarta;Surakarta;-7.5628043;110.847745
Sakinah;menjual aneka makanan;Surakarta;Surakarta;Surakarta;-7.551786816755589;110.81857722107812
Warung Makan Bu Warni;menjual aneka makanan;Surakarta;Surakarta;Surakarta;-7.551786816755589;110.81857722107812
Warung Makan Sulaiman;menjual aneka makanan;Surakarta;Surakarta;Surakarta;-7.551786816755589;110.81857722107812
Rumah Makan Barokah;menjual aneka makanan;Surakarta;Surakarta;Surakarta;-7.551786816755589;110.81857722107812
Warung Makan Handayani;menjual makanan dan minuman;Surakarta;Surakarta;Surakarta;-7.551786816755589;110.81857722107812
Warung Makan Bu Karti;menjual aneka masakan;Surakarta;Surakarta;Surakarta;-7.551787650987616;110.81858842824094
Warung Makan Pak Roto;menjual aneka makanan dan minuman;Surakarta;Surakarta;Surakarta;-7.551787650987616;110.81858842824094
Rm Bethany;menjual makanan dan minuman;Surakarta;Surakarta;Surakarta;-7.551787650987616;110.81858842824094
Kelontong Bethany;menjual aneka makanan dan minuman;Surakarta;Surakarta;Surakarta;-7.5517854435239045;110.81858693217443
Toko Oleh Oleh Bu Warno;menjual aneka oleh oleh;Surakarta;Surakarta;Surakarta;-7.551779745794118;110.81858248550976
Sate Bebek Bu Muslimah;MENJUAL SATE ATI AMBLA BEBEK;Surakarta;Surakarta;Surakarta;-7.5836367;110.8371484
Toko Sinar Sewu;menjual orderdil sepeda motor, kampas, oli, gerset;Surakarta;Surakarta;Surakarta;-7.5389874;110.8427552
Murwani Jahit;MENERIMA JAHITAN PAKAIAN;Surakarta;Surakarta;Surakarta;-7.5625241;110.8307675
Tambal Ban Widi;JASA TAMBAL BAN ;Surakarta;Surakarta;Surakarta;-7.5633937;110.8286442
"Kos"" An Xelnio";rumah kos;Surakarta;Surakarta;Surakarta;-7.5661744;110.8127608
Watung Mbak Wiwik;warung makan dan minum;Surakarta;Surakarta;Surakarta;-7.573123;110.8409571
Beras Uti Nuk;menjual beras;Surakarta;Surakarta;Surakarta;-7.4958242;110.8066789
Kelontong Moro Mantep;menjual sembako;Surakarta;Surakarta;Surakarta;-7.4956532;110.8065864
Es Degan Pak Amat;menjual minuman;Surakarta;Surakarta;Surakarta;-7.4956688;110.8066957
Kedai Kopi Babayo;menjual kopi;Surakarta;Surakarta;Surakarta;-7.4958552;110.8068761
Penjahit Busana Remaja;menjahit pakaian;Surakarta;Surakarta;Surakarta;-7.4956391;110.8065073
Farah Tupperware;menjual tupperware;Surakarta;Surakarta;Surakarta;-7.4957755;110.8065837
Warung Bu Imah;menjual sembako;Surakarta;Surakarta;Surakarta;-7.4956604;110.8065811
Lotis Dan Rujak;menjual rujak;Surakarta;Surakarta;Surakarta;-7.495688;110.8066845
Warung Garasi;menjual sembako;Surakarta;Surakarta;Surakarta;-7.495637;110.8065862
Kedai Minum Mila;menjual minuman;Surakarta;Surakarta;Surakarta;-7.4956883;110.806655
Wahyuni;Menjual makanan;Surakarta;Surakarta;Surakarta;-7.4956283;110.8067115
Warung Biru;Menjual aneka minuman;Surakarta;Surakarta;Surakarta;-7.5674122;110.8570526
